Code_Dpt,Departement,Region,annee,densite,pop_globale,tranche_age_0-24,tranche_age_25-59,tranche_age_60+,csp1_agriculteurs,csp2_artisans_commercant_chef_entreprises,csp3_cadres_professions_intellectuelles,csp4_professions_intermediaires,csp5_employes,csp6_ouvriers,csp7_retraites,csp8_sans_activite,nb_salaries_secteur_agricole,nb_salaries_secteur_industrie,nb_salaries_secteur_service,nbre_entreprises_agricole,nbre_entreprises_industrie,nbre_entreprises_service,Deblais_gravats,Dechets_verts,Encombrants,Materiaux_recyclables
56,Morbihan,Bretagne,2021,112.7,769297,201353,316443,251501,6835,26524,42127,84476,91826,84050,222316,211143,11140,69226,213434,4083.0,7292.0,22018.0,75961,112889,55483,44547
57,Moselle,Grand Est,2021,168.9,1053840,291102,476988,285750,2786,23835,64945,127198,147186,124596,228862,334432,4425,74566,276214,3364.0,7379.0,24651.0,74731,55232,74896,49692
58,Nièvre,Bourgogne-Franche-Comté,2021,29.7,203363,47612,78640,77111,3143,5670,8012,19078,24786,20770,67744,54160,4689,13774,55062,2329.0,1835.0,6063.0,9095,15705,11740,10772
59,Nord,Hauts-de-France,2021,454.7,2623069,861535,1150039,611495,6094,55815,197996,301160,335168,279269,504734,942833,11097,182889,834040,5095.0,13895.0,54471.0,213945,126047,130349,92346
60,Oise,Hauts-de-France,2021,141.4,830938,260102,375116,195720,2855,20882,55912,104239,111414,94419,164832,276385,5252,59968,207490,2943.0,6252.0,21108.0,51921,51312,75494,15990
61,Orne,Normandie,2021,45.4,277232,71977,110563,94692,4821,8358,10552,24663,33073,35751,83740,76274,7694,27239,71148,3956.0,2964.0,8279.0,16759,32269,24267,12388
62,Pas-de-Calais,Hauts-de-France,2021,219.1,1465900,449924,635583,380393,6545,31771,62075,155383,197671,184302,317342,510811,11448,100578,384386,5350.0,8838.0,32337.0,88029,96228,86545,49043
63,Puy-de-Dôme,Auvergne-Rhône-Alpes,2021,83.1,663468,191200,283823,188445,5826,20142,50297,78924,83177,65458,161080,198564,8393,58051,209550,4382.0,6029.0,18112.0,42958,32102,30865,30030
64,Pyrénées-Atlantiques,Nouvelle-Aquitaine,2021,90.7,696011,176792,299053,220166,7782,26889,47527,85269,90558,61716,186144,190126,10064,55830,223018,5247.0,7349.0,22801.0,41720,57822,36152,31435
65,Hautes-Pyrénées,Occitanie,2021,51.7,230959,56443,94198,80318,2646,8145,10014,24357,33099,20779,67005,64914,3104,16198,69842,2450.0,2725.0,8238.0,13994,20419,13889,12185
66,Pyrénées-Orientales,Occitanie,2021,118.4,489724,127090,198417,164217,2679,18899,21075,50264,64205,41641,136955,154006,5218,23275,135584,2130.0,4747.0,15238.0,36334,39533,37308,21407
67,Bas-Rhin,Grand Est,2021,242.4,1153940,340547,522441,290952,3258,29922,100323,147968,147133,133690,241799,349847,6668,106691,376521,3582.0,9130.0,30565.0,55548,48285,54397,43268
68,Haut-Rhin,Grand Est,2021,217.6,765751,213265,346566,205920,2960,19380,49552,94305,100747,98263,171311,229233,5746,69336,210645,2703.0,5764.0,20765.0,45454,29516,27839,23024
69,Rhône,Auvergne-Rhône-Alpes,2021,582.8,1900457,625779,853860,420818,4732,57358,233266,252924,226976,144279,341245,639677,7650,167195,764058,3405.0,14205.0,52362.0,68816,58113,42122,56714
70,Haute-Saône,Bourgogne-Franche-Comté,2021,43.7,234206,61966,99825,72415,2851,6771,9850,25274,29204,31363,63315,65578,3986,20114,53965,2497.0,2613.0,6952.0,16149,19851,12410,17004
71,Saône-et-Loire,Bourgogne-Franche-Comté,2021,64.1,549241,139578,224692,184971,6699,17334,25185,56575,67561,65971,160316,149600,10704,49498,151285,4487.0,5373.0,16304.0,34296,43796,28551,33554
72,Sarthe,Pays de la Loire,2021,91.2,566751,166149,235424,165178,5198,13550,29765,61056,72534,71839,146190,166619,8255,51551,161864,3985.0,3977.0,12304.0,35731,52411,36616,19699
73,Savoie,Auvergne-Rhône-Alpes,2021,73.4,442598,123942,195826,122830,2209,17467,31643,60671,56869,45227,103468,125044,3569,39621,155336,2329.0,5604.0,18250.0,29286,28274,23141,27739
74,Haute-Savoie,Auvergne-Rhône-Alpes,2021,191.8,845423,246005,407890,191528,3116,33243,70150,125061,116081,92516,156940,248316,4390,70204,239570,2648.0,8352.0,28387.0,39044,57204,42935,55895
75,Paris,Île-de-France,2021,20238.2,2130232,575055,1073004,482173,452,67909,564039,264496,212864,74809,337280,608383,1014,135334,1771339,356.0,10442.0,55709.0,954,31,1725,163
76,Seine-Maritime,Normandie,2021,200.1,1259425,382187,538396,338842,5370,29001,77940,146922,162982,141078,291717,404415,9003,108335,386135,5203.0,7528.0,27024.0,87964,127864,97905,33747
77,Seine-et-Marne,Île-de-France,2021,243.1,1446050,478807,670181,297062,2441,38889,126886,204633,214235,127064,241963,489939,4495,82819,394613,2435.0,11367.0,39525.0,57788,35603,89634,12446
78,Yvelines,Île-de-France,2021,637.5,1464894,472979,668470,323445,965,35545,238817,189032,167379,83085,253877,496194,2037,101453,427868,1154.0,8011.0,37015.0,46185,29013,56404,19395
79,Deux-Sèvres,Nouvelle-Aquitaine,2021,62.4,376280,100782,158581,116917,5622,10510,21028,39093,48827,47334,101396,102470,8703,34447,115571,3282.0,3398.0,9931.0,43932,47271,18428,19693
80,Somme,Hauts-de-France,2021,91.8,565077,171769,241204,152104,4814,13007,31106,60110,72644,70186,130818,182392,8351,46268,162026,3793.0,3842.0,13347.0,46486,49816,54149,15966
81,Tarn,Occitanie,2021,68.4,393826,103078,161097,129651,4862,14818,21012,44752,49634,35589,109816,113343,6840,27987,103287,3223.0,4422.0,12210.0,31990,30019,22028,20709
82,Tarn-et-Garonne,Occitanie,2021,70.8,263418,74224,111911,77283,3533,9107,13344,28229,34277,28591,64883,81454,5522,16210,70957,2276.0,2675.0,7864.0,18348,20613,13612,8461
83,Var,Provence-Alpes-Côte d'Azur,2021,183.4,1102235,276354,457190,368691,3772,50324,62051,122889,153007,83049,303563,323580,7501,57480,321303,2833.0,10136.0,33873.0,86401,107783,79839,43564
84,Vaucluse,Provence-Alpes-Côte d'Azur,2021,158.3,565187,157949,240197,167041,4360,23956,31923,61625,71202,57167,135480,179474,9709,37198,174319,2445.0,5861.0,19417.0,44275,43596,34402,25023
85,Vendée,Pays de la Loire,2021,104.1,702353,187316,287672,227365,7702,22725,29799,74170,85065,94802,205395,182695,12049,79158,189265,3677.0,7118.0,20190.0,88897,89365,39923,44659
86,Vienne,Nouvelle-Aquitaine,2021,62.9,440151,132029,181501,126621,3815,11963,27500,50517,59304,43803,108733,134516,5684,34578,134979,2376.0,3685.0,11266.0,33420,39629,26881,18600
87,Haute-Vienne,Nouvelle-Aquitaine,2021,67.3,371745,100096,151921,119728,3899,10752,22333,42224,46882,35317,105923,104415,4933,26053,114226,2304.0,3036.0,8540.0,17676,26526,19116,13514
88,Vosges,Grand Est,2021,61.4,360840,93168,150729,116943,2802,11391,15020,37666,46203,46494,102377,98887,4217,35518,94661,2634.0,4176.0,10979.0,25086,24971,18959,21915
89,Yonne,Bourgogne-Franche-Comté,2021,44.9,333234,87788,139332,106114,3571,10067,14979,34030,42384,41698,91470,95035,6464,26259,88859,2607.0,3309.0,10364.0,27844,25724,25750,18156
90,Territoire-de-Belfort,Bourgogne-Franche-Comté,2021,229.2,139531,41554,60847,37130,194,3314,10557,15690,17481,16454,31501,44340,351,10466,42299,364.0,944.0,3263.0,7839,4913,7437,5803
91,Essonne,Île-de-France,2021,728.1,1320900,440758,605802,274340,820,31378,150183,180211,175479,103965,221316,457548,1568,73190,383468,826.0,8555.0,31897.0,51321,27508,102448,9548
92,Hauts-de-Seine,Île-de-France,2021,9312.1,1639335,505758,800744,332833,168,45876,368334,204542,180073,66526,245402,528414,524,118312,878347,236.0,6511.0,35473.0,6436,2378,47739,4943
93,Seine-Saint-Denis,Île-de-France,2021,7064.6,1671620,591433,795744,284443,102,43462,134368,187008,255318,167958,200294,683110,292,82379,521461,157.0,8064.0,29220.0,41319,6326,50110,8484
94,Val-de-Marne,Île-de-France,2021,5776.3,1416897,457743,670809,288345,116,37581,194931,184120,193704,96546,217243,492656,426,64235,464656,199.0,6577.0,27190.0,17873,3524,19542,4616
95,Val-D'Oise,Île-de-France,2021,1008.6,1259521,434211,581299,244011,530,32055,122744,168006,177443,104539,188386,465818,1018,60216,361913,676.0,7364.0,26832.0,72595,17135,68895,9297
