ville_id;date;condition;temperature;duree_ensoleillement;pluie;vent
5;2025-11-16;3;6.948226;21462.24;2.1000001;19.008545
5;2025-11-17;2;6.327484;26808.531;0.0;3.5455887
5;2025-11-18;3;4.8641253;26710.725;0.1;26.250393
5;2025-11-19;3;1.2249365;20576.475;5.0000005;35.11061
5;2025-11-20;1;4.2998056;27036.803;0.0;18.775303
5;2025-11-21;3;7.5384474;283.4562;0.9;15.1884165
5;2025-11-22;2;10.488539;0.0;0.0;27.181787
6;2025-11-15;6;13.291119;0.0;4.799999;10.799999
6;2025-11-16;1;10.280135;0.0;0.0;15.141414
6;2025-11-17;1;5.522583;28180.727;0.0;5.904439
6;2025-11-18;3;4.0913057;24665.422;0.3;16.78156
6;2025-11-19;3;1.7754354;23556.371;0.3;24.640942
6;2025-11-20;1;4.6202393;27180.463;0.0;16.363178
6;2025-11-21;3;7.1715183;939.6279;2.3999996;10.739832
6;2025-11-22;1;9.636085;6783.116;0.0;17.227419
7;2025-11-15;1;7.9514465;681.584;0.0;16.507088
7;2025-11-16;1;8.322724;26696.809;0.0;9.028754
7;2025-11-17;3;4.2467375;27138.63;1.2;10.196647
7;2025-11-18;3;2.5012808;0.0;1.4000001;24.262638
7;2025-11-19;3;1.93079;27272.996;4.599999;27.709478
7;2025-11-20;1;1.507793;27099.725;0.0;23.00693
7;2025-11-21;3;2.3079643;22067.336;0.6;7.1389914
7;2025-11-22;1;-1.820399;7107.6216;0.0;17.616106
8;2025-11-15;1;4.556986;0.0;0.0;15.5395355
8;2025-11-16;1;7.572773;26484.566;0.0;10.315115
8;2025-11-17;3;2.742815;26974.602;0.6;10.837435
8;2025-11-18;3;1.7173653;0.0;2.2;24.957764
8;2025-11-19;3;1.7040138;11265.626;4.3999996;33.231823
8;2025-11-20;1;-0.07815266;26634.797;0.0;27.388998
8;2025-11-21;3;1.9041781;26459.893;0.6;12.303366
8;2025-11-22;1;-0.17527103;25573.113;0.0;15.743569
9;2025-11-15;4;11.160637;0.0;6.6;5.0911684
9;2025-11-16;6;11.798168;18179.324;3.4999993;14.973577
9;2025-11-17;1;3.7654982;21247.594;0.0;8.707238
9;2025-11-18;4;3.0186563;11346.421;0.6;18.0036
9;2025-11-19;3;1.375092;18311.227;0.3;15.137133
9;2025-11-20;1;0.7963605;19670.146;0.0;11.874544
9;2025-11-21;1;0.27634144;27460.432;0.0;13.698934
9;2025-11-22;1;2.029285;0.0;0.0;22.007162
10;2025-11-15;4;8.445654;0.0;8.999999;4.896529
10;2025-11-16;6;9.189434;27319.941;3.5999997;6.830519
10;2025-11-17;2;3.2137427;27203.91;0.0;4.452954
10;2025-11-18;3;1.9508133;11341.748;1.5;15.256526
10;2025-11-19;5;-2.7176914;23458.576;2.1000001;14.707222
10;2025-11-20;2;-2.9590158;21956.193;0.0;6.5693827
10;2025-11-21;3;-1.6979764;27348.91;0.3;6.87779
10;2025-11-22;3;0.32254553;0.0;0.3;9.387651
11;2025-11-15;4;10.933982;0.0;7.4;5.2416787
